Location,cause,Year,deaths
World,Indoor Air Pollution,2001,2262796.548
World,Outdoor Air Pollution,2001,2596355.38
World,Alcohol use,2002,2443612.781
World,Child stunting,2002,638475.9957
World,Child wasting,2002,2304567.114
World,Diet high in red meat,2002,15230.33154
World,Diet high in sodium,2002,2429819.844
World,Diet low  in nutsandseeds,2002,1660048.922
World,Diet low in calcium,2002,132519.0979
World,Diet low in fiber,2002,703813.0958
World,Diet low in fruits,2002,2246956.39
World,Diet low in legumes,2002,474487.0237
World,Diet low in seafood omega3fattyacids,2002,1175485.537
World,Diet low in vegetables,2002,1425944.728
World,Diet low in whole grains,2002,2580824.656
World,Discontinued breastfeeding,2002,19504.70007
World,Drugs,2002,414358.0392
World,High bloodpressure,2002,8188714.686
World,High bodymass  index,2002,3121412.686
World,High fasting plasma glucose,2002,4611053.543
World,Iron deficiency,2002,106458.759
World,Low birth weight for gestation,2002,1642907.983
World,Low bonemineraldensity,2002,207174.9366
World,Low physicalactivity,2002,989123.6477
World,No access to handwashing facility,2002,976805.5305
World,Nonexclusive breastfeeding,2002,312995.3409
World,Secondhand smoke,2002,1178246.291
World,Smoking,2002,6444008.309
World,Unsafe sanitation,2002,1240534.972
World,Unsafe sex,2002,1586150.019
World,Unsafe watersource,2002,1638128.167
World,VitaminA deficiency,2002,636888.4349
World,Zinc deficiency,2002,78781.11715
World,Air Pollution,2002,4716666.14
World,Indoor Air Pollution,2002,2218646.043
World,Outdoor Air Pollution,2002,2653391.61
World,Alcohol use,2003,2494699.766
World,Child stunting,2003,599482.4313
World,Child wasting,2003,2118224.642
World,Diet high in red meat,2003,15604.57529
World,Diet high in sodium,2003,2479178.881
World,Diet low  in nutsandseeds,2003,1689864.146
World,Diet low in calcium,2003,135708.8132
World,Diet low in fiber,2003,715879.5263
World,Diet low in fruits,2003,2271494.393
World,Diet low in legumes,2003,482644.6025
World,Diet low in seafood omega3fattyacids,2003,1194261.488
World,Diet low in vegetables,2003,1433755.018
World,Diet low in whole grains,2003,2618813.149
World,Discontinued breastfeeding,2003,18449.95506
World,Drugs,2003,423709.2334
World,High bloodpressure,2003,8325151.221
World,High bodymass  index,2003,3217542.881
World,High fasting plasma glucose,2003,4787898.524
World,Iron deficiency,2003,101206.9103
World,Low birth weight for gestation,2003,1614537.797
World,Low bonemineraldensity,2003,216598.2116
World,Low physicalactivity,2003,1009107.006
World,No access to handwashing facility,2003,951759.7839
World,Nonexclusive breastfeeding,2003,299066.9771
World,Secondhand smoke,2003,1171247.834
World,Smoking,2003,6500340.707
World,Unsafe sanitation,2003,1205163.982
World,Unsafe sex,2003,1667507.56
World,Unsafe watersource,2003,1596385.848
World,VitaminA deficiency,2003,589182.3923
World,Zinc deficiency,2003,74312.88099
World,Air Pollution,2003,4725277.204
World,Indoor Air Pollution,2003,2172350.595
World,Outdoor Air Pollution,2003,2706991.96
World,Alcohol use,2004,2518388.904
World,Child stunting,2004,563236.8118
World,Child wasting,2004,2020585.348
World,Diet high in red meat,2004,15731.65105
World,Diet high in sodium,2004,2501628.107
World,Diet low  in nutsandseeds,2004,1689426.421
World,Diet low in calcium,2004,137379.5747
World,Diet low in fiber,2004,716651.0146
World,Diet low in fruits,2004,2264922.643
World,Diet low in legumes,2004,482412.6906
World,Diet low in seafood omega3fattyacids,2004,1192369.288
World,Diet low in vegetables,2004,1417363.336
World,Diet low in whole grains,2004,2614228.7
World,Discontinued breastfeeding,2004,17610.22055
World,Drugs,2004,433106.5906
World,High bloodpressure,2004,8321914.696
World,High bodymass  index,2004,3262967.782
World,High fasting plasma glucose,2004,4880129.558
World,Iron deficiency,2004,97904.38054
World,Low birth weight for gestation,2004,1579137.427
World,Low bonemineraldensity,2004,222985.6269
World,Low physicalactivity,2004,1009221.106
World,No access to handwashing facility,2004,930329.4991
World,Nonexclusive breastfeeding,2004,286549.6128
World,Secondhand smoke,2004,1152014.441
World,Smoking,2004,6450954.751
World,Unsafe sanitation,2004,1174027.895
World,Unsafe sex,2004,1725533.068
World,Unsafe watersource,2004,1561987.644
World,VitaminA deficiency,2004,545803.4973
World,Zinc deficiency,2004,70531.85562
World,Air Pollution,2004,4673825.644
World,Indoor Air Pollution,2004,2109307.172
World,Outdoor Air Pollution,2004,2714489.07
World,Alcohol use,2005,2562559.799
World,Child stunting,2005,529128.9553
World,Child wasting,2005,1929828.236
World,Diet high in red meat,2005,16104.28476
World,Diet high in sodium,2005,2519956.305
World,Diet low  in nutsandseeds,2005,1720012.817
World,Diet low in calcium,2005,140308.297
World,Diet low in fiber,2005,728657.2046
World,Diet low in fruits,2005,2271774.205
World,Diet low in legumes,2005,489662.8976
World,Diet low in seafood omega3fattyacids,2005,1210534.45
World,Diet low in vegetables,2005,1418079.128
World,Diet low in whole grains,2005,2643503.717
World,Discontinued breastfeeding,2005,16819.4056
World,Drugs,2005,447740.285
World,High bloodpressure,2005,8440626.756
World,High bodymass  index,2005,3357385.922
World,High fasting plasma glucose,2005,5016361.945
World,Iron deficiency,2005,96120.01178
World,Low birth weight for gestation,2005,1544999.694
World,Low bonemineraldensity,2005,231654.2463
World,Low physicalactivity,2005,1026950.571
World,No access to handwashing facility,2005,914399.9049
World,Nonexclusive breastfeeding,2005,274539.5928
World,Secondhand smoke,2005,1141569.517
World,Smoking,2005,6457486.751
World,Unsafe sanitation,2005,1149262.178
World,Unsafe sex,2005,1762207.25
World,Unsafe watersource,2005,1536826.824
World,VitaminA deficiency,2005,507993.2815
World,Zinc deficiency,2005,67096.33842
World,Air Pollution,2005,4650017.131
World,Indoor Air Pollution,2005,2057468.406
World,Outdoor Air Pollution,2005,2738822.82
World,Alcohol use,2006,2544467.646
World,Child stunting,2006,492990.4948
World,Child wasting,2006,1850101.089
World,Diet high in red meat,2006,16318.71523
World,Diet high in sodium,2006,2499281.342
World,Diet low  in nutsandseeds,2006,1718809.429
World,Diet low in calcium,2006,142061.3753
World,Diet low in fiber,2006,728426.3249
World,Diet low in fruits,2006,2232136.375
World,Diet low in legumes,2006,481206.5112
World,Diet low in seafood omega3fattyacids,2006,1208477.603
World,Diet low in vegetables,2006,1395176.563
World,Diet low in whole grains,2006,2617239.072
World,Discontinued breastfeeding,2006,16281.51882
World,Drugs,2006,452485.8341
World,High bloodpressure,2006,8416624.125
World,High bodymass  index,2006,3388547.812
World,High fasting plasma glucose,2006,5056877.019
World,Iron deficiency,2006,92610.66182
World,Low birth weight for gestation,2006,1510726.59
World,Low bonemineraldensity,2006,237894.7652
World,Low physicalactivity,2006,1023921.036
World,No access to handwashing facility,2006,905364.3651
World,Nonexclusive breastfeeding,2006,266156.299
World,Secondhand smoke,2006,1117579.421
World,Smoking,2006,6375847.554
World,Unsafe sanitation,2006,1132528.956
World,Unsafe sex,2006,1771140.671
World,Unsafe watersource,2006,1523674.684
World,VitaminA deficiency,2006,470133.176
World,Zinc deficiency,2006,63539.21875
World,Air Pollution,2006,4615828.129
World,Indoor Air Pollution,2006,2002416.138
World,Outdoor Air Pollution,2006,2756217.38
World,Alcohol use,2007,2562325.476
World,Child stunting,2007,458315.8072
World,Child wasting,2007,1769622.401
World,Diet high in red meat,2007,16835.50678
World,Diet high in sodium,2007,2524216.531
World,Diet low  in nutsandseeds,2007,1737232.27
World,Diet low in calcium,2007,145000.4821
World,Diet low in fiber,2007,736746.6979
World,Diet low in fruits,2007,2224065.518
World,Diet low in legumes,2007,480959.0332
World,Diet low in seafood omega3fattyacids,2007,1220187.894
World,Diet low in vegetables,2007,1388276.29
World,Diet low in whole grains,2007,2627876.82
World,Discontinued breastfeeding,2007,15825.76529
World,Drugs,2007,458612.3074
World,High bloodpressure,2007,8503613.801
World,High bodymass  index,2007,3465994.585
World,High fasting plasma glucose,2007,5135848.389
World,Iron deficiency,2007,88885.35514
World,Low birth weight for gestation,2007,1476116.031
World,Low bonemineraldensity,2007,244892.3402
World,Low physicalactivity,2007,1034939.776
World,No access to handwashing facility,2007,891831.9068
World,Nonexclusive breastfeeding,2007,255904.2064
World,Secondhand smoke,2007,1107576.361
World,Smoking,2007,6383033.915
World,Unsafe sanitation,2007,1109838.767
World,Unsafe sex,2007,1749320.792
World,Unsafe watersource,2007,1503844.158
World,VitaminA deficiency,2007,437355.9554
World,Zinc deficiency,2007,59974.57114
World,Air Pollution,2007,4626412.075
World,Indoor Air Pollution,2007,1961085.424
World,Outdoor Air Pollution,2007,2807283.47
World,Alcohol use,2008,2621392.287
World,Child stunting,2008,429140.2898
World,Child wasting,2008,1698621.025
World,Diet high in red meat,2008,17458.01965
World,Diet high in sodium,2008,2587152.255
World,Diet low  in nutsandseeds,2008,1775415.159
World,Diet low in calcium,2008,148958.0062
World,Diet low in fiber,2008,752751.2164
World,Diet low in fruits,2008,2242840.108
World,Diet low in legumes,2008,487495.6237
World,Diet low in seafood omega3fattyacids,2008,1244783.213
World,Diet low in vegetables,2008,1397585.14
World,Diet low in whole grains,2008,2670700.495
World,Discontinued breastfeeding,2008,15725.66256
World,Drugs,2008,467883.4028
World,High bloodpressure,2008,8699254.174
World,High bodymass  index,2008,3586561.415
World,High fasting plasma glucose,2008,5258887.049
World,Iron deficiency,2008,85675.91249
World,Low birth weight for gestation,2008,1444251.783
World,Low bonemineraldensity,2008,252302.2091
World,Low physicalactivity,2008,1059395.939
World,No access to handwashing facility,2008,879853.2327
World,Nonexclusive breastfeeding,2008,247528.848
World,Secondhand smoke,2008,1110817.943
World,Smoking,2008,6447767.153
World,Unsafe sanitation,2008,1089920.305
World,Unsafe sex,2008,1703043.841
World,Unsafe watersource,2008,1491461.978
World,VitaminA deficiency,2008,414916.7751
World,Zinc deficiency,2008,56797.09372
World,Air Pollution,2008,4671511.435
World,Indoor Air Pollution,2008,1927176.022
World,Outdoor Air Pollution,2008,2887186.83
World,Alcohol use,2009,2628366.75
World,Child stunting,2009,404687.5141
World,Child wasting,2009,1640429.923
World,Diet high in red meat,2009,17985.53277
World,Diet high in sodium,2009,2658035.345
World,Diet low  in nutsandseeds,2009,1800950.567
World,Diet low in calcium,2009,152579.7589
World,Diet low in fiber,2009,765319.7365
World,Diet low in fruits,2009,2257993.063
World,Diet low in legumes,2009,488713.1867
World,Diet low in seafood omega3fattyacids,2009,1265076.327
World,Diet low in vegetables,2009,1402937.819
World,Diet low in whole grains,2009,2700577.093
World,Discontinued breastfeeding,2009,15843.25268
World,Drugs,2009,474179.7575
World,High bloodpressure,2009,8863423.503
World,High bodymass  index,2009,3688360.783
World,High fasting plasma glucose,2009,5361133.733
World,Iron deficiency,2009,83044.11029
World,Low birth weight for gestation,2009,1413576.316
World,Low bonemineraldensity,2009,258066.0505
World,Low physicalactivity,2009,1077823.426
World,No access to handwashing facility,2009,873667.455
World,Nonexclusive breastfeeding,2009,240509.8515
World,Secondhand smoke,2009,1115495.907
World,Smoking,2009,6495294.182
World,Unsafe sanitation,2009,1077637.575
World,Unsafe sex,2009,1650365.441
World,Unsafe watersource,2009,1489789.499
World,VitaminA deficiency,2009,397237.1968
World,Zinc deficiency,2009,53849.09454
World,Air Pollution,2009,4713605.404
World,Indoor Air Pollution,2009,1897357.343
World,Outdoor Air Pollution,2009,2960814.94
World,Alcohol use,2010,2677117.845
World,Child stunting,2010,384288.2486
